day,dailly_cases-16,dailly_cases-15,dailly_cases-14,dailly_cases-13,dailly_cases-12,dailly_cases-11,dailly_cases-10,dailly_cases-9,dailly_cases-8,dailly_cases-7,dailly_cases-6,dailly_cases-5,dailly_cases-4,dailly_cases-3,dailly_cases-2,dailly_cases-1
31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11
45,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,19
46,0,0,0,0,0,0,0,0,0,0,1,0,2,11,19,17
47,0,0,0,0,0,0,0,0,0,1,0,2,11,19,17,96
48,0,0,0,0,0,0,0,0,1,0,2,11,19,17,96,48
49,0,0,0,0,0,0,0,1,0,2,11,19,17,96,48,38
50,0,0,0,0,0,0,1,0,2,11,19,17,96,48,38,28
51,0,0,0,0,0,1,0,2,11,19,17,96,48,38,28,86
52,0,0,0,0,1,0,2,11,19,17,96,48,38,28,86,109
53,0,0,0,1,0,2,11,19,17,96,48,38,28,86,109,144
54,0,0,1,0,2,11,19,17,96,48,38,28,86,109,144,251
55,0,1,0,2,11,19,17,96,48,38,28,86,109,144,251,144
56,1,0,2,11,19,17,96,48,38,28,86,109,144,251,144,477
57,0,2,11,19,17,96,48,38,28,86,109,144,251,144,477,694
58,2,11,19,17,96,48,38,28,86,109,144,251,144,477,694,1359
59,11,19,17,96,48,38,28,86,109,144,251,144,477,694,1359,1992
60,19,17,96,48,38,28,86,109,144,251,144,477,694,1359,1992,3826
61,17,96,48,38,28,86,109,144,251,144,477,694,1359,1992,3826,3072
62,96,48,38,28,86,109,144,251,144,477,694,1359,1992,3826,3072,5067
63,48,38,28,86,109,144,251,144,477,694,1359,1992,3826,3072,5067,6301
64,38,28,86,109,144,251,144,477,694,1359,1992,3826,3072,5067,6301,5515
65,28,86,109,144,251,144,477,694,1359,1992,3826,3072,5067,6301,5515,5908
66,86,109,144,251,144,477,694,1359,1992,3826,3072,5067,6301,5515,5908,7491
67,109,144,251,144,477,694,1359,1992,3826,3072,5067,6301,5515,5908,7491,8245
68,144,251,144,477,694,1359,1992,3826,3072,5067,6301,5515,5908,7491,8245,8356
69,251,144,477,694,1359,1992,3826,3072,5067,6301,5515,5908,7491,8245,8356,7771
70,144,477,694,1359,1992,3826,3072,5067,6301,5515,5908,7491,8245,8356,7771,8253
71,477,694,1359,1992,3826,3072,5067,6301,5515,5908,7491,8245,8356,7771,8253,10454
72,694,1359,1992,3826,3072,5067,6301,5515,5908,7491,8245,8356,7771,8253,10454,15863
73,1359,1992,3826,3072,5067,6301,5515,5908,7491,8245,8356,7771,8253,10454,15863,11682
74,1992,3826,3072,5067,6301,5515,5908,7491,8245,8356,7771,8253,10454,15863,11682,12161
75,3826,3072,5067,6301,5515,5908,7491,8245,8356,7771,8253,10454,15863,11682,12161,11413
76,3072,5067,6301,5515,5908,7491,8245,8356,7771,8253,10454,15863,11682,12161,11413,11976
77,5067,6301,5515,5908,7491,8245,8356,7771,8253,10454,15863,11682,12161,11413,11976,11792
78,6301,5515,5908,7491,8245,8356,7771,8253,10454,15863,11682,12161,11413,11976,11792,9437
79,5515,5908,7491,8245,8356,7771,8253,10454,15863,11682,12161,11413,11976,11792,9437,12074
80,5908,7491,8245,8356,7771,8253,10454,15863,11682,12161,11413,11976,11792,9437,12074,14058
81,7491,8245,8356,7771,8253,10454,15863,11682,12161,11413,11976,11792,9437,12074,14058,13533
82,8245,8356,7771,8253,10454,15863,11682,12161,11413,11976,11792,9437,12074,14058,13533,9834
83,8356,7771,8253,10454,15863,11682,12161,11413,11976,11792,9437,12074,14058,13533,9834,9306
84,7771,8253,10454,15863,11682,12161,11413,11976,11792,9437,12074,14058,13533,9834,9306,9876
85,8253,10454,15863,11682,12161,11413,11976,11792,9437,12074,14058,13533,9834,9306,9876,10350
86,10454,15863,11682,12161,11413,11976,11792,9437,12074,14058,13533,9834,9306,9876,10350,9263
87,15863,11682,12161,11413,11976,11792,9437,12074,14058,13533,9834,9306,9876,10350,9263,10281
88,11682,12161,11413,11976,11792,9437,12074,14058,13533,9834,9306,9876,10350,9263,10281,9984
89,12161,11413,11976,11792,9437,12074,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366
90,11413,11976,11792,9437,12074,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737
91,11976,11792,9437,12074,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078
92,11792,9437,12074,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828
93,9437,12074,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970
94,12074,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904
95,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952
96,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940
97,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524
98,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445
99,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017
100,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327
101,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428
102,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576
103,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406
104,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250
105,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025
106,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844
107,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828
108,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896
109,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356
110,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327
111,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795
112,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135
113,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783
114,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835
115,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655
116,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356
117,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169
118,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395
119,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818
120,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463
121,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195
122,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844
123,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783
124,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471
125,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124
126,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906
127,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845
128,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643
129,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807
130,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200
131,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657
132,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379
133,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650
134,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523
135,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258
136,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594
137,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463
138,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207
139,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011
140,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101
141,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949
142,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727
143,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049
144,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079
145,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865
146,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865,777
147,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865,777,906
148,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865,777,906,719
149,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865,777,906,719,670
150,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865,777,906,719,670,960
151,1594,1463,1207,1011,1101,949,727,1049,1079,865,777,906,719,670,960,1004
152,1463,1207,1011,1101,949,727,1049,1079,865,777,906,719,670,960,1004,792
153,1207,1011,1101,949,727,1049,1079,865,777,906,719,670,960,1004,792,749
154,1011,1101,949,727,1049,1079,865,777,906,719,670,960,1004,792,749,872
155,1101,949,727,1049,1079,865,777,906,719,670,960,1004,792,749,872,697
156,949,727,1049,1079,865,777,906,719,670,960,1004,792,749,872,697,688
157,727,1049,1079,865,777,906,719,670,960,1004,792,749,872,697,688,1028
158,1049,1079,865,777,906,719,670,960,1004,792,749,872,697,688,1028,1037
159,1079,865,777,906,719,670,960,1004,792,749,872,697,688,1028,1037,876
160,865,777,906,719,670,960,1004,792,749,872,697,688,1028,1037,876,684
161,777,906,719,670,960,1004,792,749,872,697,688,1028,1037,876,684,742
162,906,719,670,960,1004,792,749,872,697,688,1028,1037,876,684,742,730
163,719,670,960,1004,792,749,872,697,688,1028,1037,876,684,742,730,774
164,670,960,1004,792,749,872,697,688,1028,1037,876,684,742,730,774,1141
165,960,1004,792,749,872,697,688,1028,1037,876,684,742,730,774,1141,1023
166,1004,792,749,872,697,688,1028,1037,876,684,742,730,774,1141,1023,844
167,792,749,872,697,688,1028,1037,876,684,742,730,774,1141,1023,844,837
168,749,872,697,688,1028,1037,876,684,742,730,774,1141,1023,844,837,772
169,872,697,688,1028,1037,876,684,742,730,774,1141,1023,844,837,772,701
170,697,688,1028,1037,876,684,742,730,774,1141,1023,844,837,772,701,799
171,688,1028,1037,876,684,742,730,774,1141,1023,844,837,772,701,799,1040
172,1028,1037,876,684,742,730,774,1141,1023,844,837,772,701,799,1040,1166
173,1037,876,684,742,730,774,1141,1023,844,837,772,701,799,1040,1166,1004
174,876,684,742,730,774,1141,1023,844,837,772,701,799,1040,1166,1004,849
175,684,742,730,774,1141,1023,844,837,772,701,799,1040,1166,1004,849,937
176,742,730,774,1141,1023,844,837,772,701,799,1040,1166,1004,849,937,1110
177,730,774,1141,1023,844,837,772,701,799,1040,1166,1004,849,937,1110,1020
178,774,1141,1023,844,837,772,701,799,1040,1166,1004,849,937,1110,1020,1136
179,1141,1023,844,837,772,701,799,1040,1166,1004,849,937,1110,1020,1136,1072
180,1023,844,837,772,701,799,1040,1166,1004,849,937,1110,1020,1136,1072,964
181,844,837,772,701,799,1040,1166,1004,849,937,1110,1020,1136,1072,964,738
182,837,772,701,799,1040,1166,1004,849,937,1110,1020,1136,1072,964,738,967
183,772,701,799,1040,1166,1004,849,937,1110,1020,1136,1072,964,738,967,991
184,701,799,1040,1166,1004,849,937,1110,1020,1136,1072,964,738,967,991,846
185,799,1040,1166,1004,849,937,1110,1020,1136,1072,964,738,967,991,846,1155
186,1040,1166,1004,849,937,1110,1020,1136,1072,964,738,967,991,846,1155,1032
187,1166,1004,849,937,1110,1020,1136,1072,964,738,967,991,846,1155,1032,944
188,1004,849,937,1110,1020,1136,1072,964,738,967,991,846,1155,1032,944,771
189,849,937,1110,1020,1136,1072,964,738,967,991,846,1155,1032,944,771,1020
190,937,1110,1020,1136,1072,964,738,967,991,846,1155,1032,944,771,1020,861
191,1110,1020,1136,1072,964,738,967,991,846,1155,1032,944,771,1020,861,923
192,1020,1136,1072,964,738,967,991,846,1155,1032,944,771,1020,861,923,1151
